iter	Passed	Remaining
0	52	52102
1	55	27564
2	58	19531
3	60	15158
4	63	12581
5	65	10834
6	67	9591
7	69	8675
8	72	7962
9	74	7413
10	77	6981
11	79	6562
12	83	6360
13	85	6034
14	87	5769
15	90	5583
16	92	5370
17	95	5182
18	97	5013
19	99	4861
20	101	4725
21	103	4606
22	107	4560
23	109	4456
24	111	4355
25	113	4262
26	115	4172
27	117	4087
28	119	4009
29	121	3944
30	124	3882
31	126	3823
32	128	3765
33	130	3712
34	132	3662
35	134	3613
36	137	3577
37	139	3535
38	142	3501
39	144	3460
40	146	3420
41	148	3393
42	150	3358
43	153	3330
44	155	3299
45	157	3275
46	160	3249
47	162	3225
48	164	3197
49	166	3171
50	171	3183
51	173	3165
52	175	3140
53	178	3119
54	180	3097
55	182	3084
56	186	3089
57	188	3066
58	191	3049
59	193	3036
60	195	3013
61	198	2998
62	200	2980
63	203	2969
64	205	2953
65	207	2937
66	209	2919
67	211	2902
68	213	2887
69	216	2880
70	219	2870
71	222	2861
72	224	2847
73	226	2836
74	228	2820
75	230	2804
76	233	2794
77	235	2784
78	239	2789
79	241	2779
80	243	2768
81	246	2754
82	249	2756
83	251	2742
84	253	2726
85	255	2711
86	256	2696
87	258	2680
88	260	2665
89	262	2651
90	264	2640
91	267	2638
92	270	2638
93	272	2628
94	274	2618
95	276	2608
96	279	2600
97	282	2596
98	284	2591
99	287	2584
100	289	2578
101	291	2569
102	294	2560
103	296	2555
104	299	2549
105	301	2543
106	304	2539
107	306	2530
108	308	2519
109	310	2509
110	313	2507
111	315	2502
112	317	2493
113	319	2484
114	321	2475
115	323	2465
116	325	2455
117	327	2445
118	329	2437
119	331	2429
120	333	2424
121	335	2416
122	337	2407
123	339	2397
124	341	2392
125	343	2385
126	345	2378
127	348	2371
128	349	2361
129	351	2354
130	353	2346
131	355	2339
132	358	2334
133	362	2342
134	364	2335
135	367	2335
136	369	2329
137	371	2322
138	374	2316
139	378	2326
140	380	2318
141	382	2313
142	384	2306
143	387	2300
144	389	2294
145	391	2287
146	393	2283
147	395	2278
148	397	2271
149	399	2266
150	402	2260
151	404	2253
152	406	2248
153	408	2244
154	410	2238
155	412	2232
156	414	2227
157	418	2229
158	420	2223
159	422	2216
160	424	2214
161	427	2209
162	429	2203
163	431	2198
164	433	2192
165	435	2187
166	437	2182
167	441	2188
168	443	2183
169	445	2177
170	448	2173
171	450	2167
172	452	2162
173	454	2158
174	457	2154
175	459	2151
176	461	2145
177	464	2144
178	467	2142
179	469	2137
180	471	2134
181	474	2130
182	476	2126
183	478	2121
184	480	2116
185	482	2111
186	484	2106
187	486	2100
188	488	2097
189	490	2092
190	493	2089
191	495	2086
192	497	2082
193	499	2076
194	501	2071
195	504	2069
196	506	2065
197	509	2062
198	511	2059
199	514	2056
200	516	2053
201	518	2049
202	520	2044
203	522	2040
204	525	2036
205	527	2031
206	529	2026
207	530	2021
208	532	2017
209	534	2011
210	537	2008
211	539	2004
212	541	1999
213	543	1995
214	545	1991
215	547	1986
216	558	2015
217	560	2011
218	565	2016
219	569	2018
220	571	2014
221	573	2011
222	577	2012
223	580	2009
224	582	2007
225	585	2005
226	588	2002
227	590	1998
228	591	1992
229	594	1988
230	596	1984
231	598	1980
232	600	1977
233	602	1973
234	605	1970
235	607	1967
236	609	1963
237	611	1958
238	613	1954
239	616	1951
240	618	1947
241	620	1943
242	622	1938
243	624	1934
244	627	1932
245	629	1929
246	632	1927
247	634	1924
248	637	1924
249	640	1920
250	643	1919
251	645	1916
252	649	1916
253	651	1912
254	653	1907
255	654	1903
256	657	1900
257	660	1898
258	662	1894
259	664	1891
260	666	1888
261	669	1885
262	671	1881
263	673	1878
264	676	1875
265	679	1875
266	683	1875
267	686	1874
268	688	1871
269	690	1867
270	692	1863
271	695	1860
272	699	1861
273	701	1859
274	704	1857
275	706	1853
276	709	1851
277	711	1848
278	714	1846
279	716	1842
280	718	1838
281	720	1834
282	723	1831
283	725	1827
284	727	1825
285	730	1823
286	732	1819
287	734	1815
288	736	1812
289	738	1808
290	740	1804
291	743	1802
292	745	1799
293	750	1802
294	753	1800
295	755	1796
296	758	1794
297	760	1791
298	763	1789
299	765	1786
300	769	1785
301	770	1781
302	773	1778
303	775	1775
304	777	1772
305	779	1768
306	782	1766
307	784	1762
308	786	1759
309	788	1755
310	790	1752
311	793	1748
312	795	1745
313	797	1741
314	798	1737
315	800	1733
316	802	1729
317	804	1725
318	806	1721
319	809	1719
320	810	1715
321	814	1715
322	816	1711
323	818	1708
324	820	1705
325	823	1702
326	825	1699
327	828	1696
328	830	1693
329	832	1690
330	835	1688
331	837	1685
332	840	1682
333	842	1679
334	844	1675
335	846	1673
336	849	1670
337	851	1666
338	853	1663
339	855	1660
340	858	1658
341	860	1655
342	862	1651
343	864	1648
344	866	1645
345	868	1642
346	872	1641
347	874	1638
348	876	1634
349	878	1631
350	880	1627
351	881	1623
352	883	1619
353	885	1616
354	887	1613
355	889	1609
356	891	1606
357	893	1603
358	896	1600
359	898	1597
360	900	1593
361	902	1590
362	904	1587
363	907	1585
364	909	1581
365	911	1578
366	913	1574
367	915	1572
368	917	1569
369	920	1567
370	922	1563
371	925	1562
372	927	1559
373	930	1556
374	932	1553
375	934	1550
376	936	1547
377	938	1543
378	940	1541
379	942	1538
380	945	1535
381	947	1532
382	949	1530
383	954	1530
384	955	1526
385	958	1524
386	960	1520
387	962	1517
388	964	1515
389	966	1512
390	969	1509
391	971	1507
392	973	1504
393	976	1501
394	978	1498
395	979	1494
396	982	1492
397	984	1488
398	986	1485
399	988	1482
400	990	1479
401	992	1475
402	993	1472
403	995	1468
404	997	1465
405	999	1462
406	1002	1460
407	1004	1457
408	1006	1454
409	1008	1451
410	1010	1448
411	1013	1446
412	1015	1443
413	1018	1441
414	1020	1438
415	1022	1435
416	1024	1432
417	1026	1429
418	1028	1426
419	1031	1424
420	1033	1421
421	1035	1418
422	1037	1415
423	1040	1413
424	1043	1411
425	1045	1408
426	1047	1406
427	1050	1403
428	1052	1400
429	1054	1397
430	1056	1394
431	1058	1391
432	1061	1390
433	1064	1388
434	1067	1385
435	1069	1383
436	1071	1380
437	1073	1377
438	1075	1374
439	1078	1372
440	1080	1369
441	1082	1366
442	1084	1363
443	1086	1360
444	1088	1357
445	1090	1354
446	1093	1352
447	1095	1349
448	1097	1346
449	1099	1343
450	1101	1341
451	1104	1338
452	1106	1335
453	1108	1332
454	1110	1330
455	1112	1327
456	1114	1324
457	1116	1321
458	1118	1318
459	1120	1315
460	1122	1312
461	1125	1311
462	1128	1308
463	1130	1305
464	1132	1303
465	1135	1300
466	1137	1298
467	1139	1295
468	1142	1293
469	1144	1290
470	1147	1289
471	1149	1286
472	1152	1283
473	1154	1280
474	1157	1278
475	1158	1275
476	1160	1272
477	1162	1269
478	1165	1267
479	1167	1264
480	1169	1261
481	1171	1258
482	1173	1255
483	1175	1252
484	1177	1249
485	1179	1247
486	1181	1244
487	1183	1241
488	1185	1239
489	1188	1237
490	1190	1234
491	1193	1232
492	1195	1229
493	1197	1226
494	1199	1223
495	1201	1221
496	1205	1219
497	1207	1216
498	1209	1213
499	1211	1211
500	1212	1208
501	1215	1205
502	1217	1202
503	1218	1199
504	1220	1196
505	1223	1194
506	1225	1191
507	1227	1188
508	1229	1185
509	1231	1182
510	1232	1179
511	1234	1176
512	1237	1175
513	1240	1172
514	1242	1169
515	1244	1167
516	1246	1164
517	1248	1161
518	1251	1160
519	1254	1157
520	1256	1155
521	1258	1152
522	1260	1149
523	1263	1147
524	1265	1144
525	1267	1142
526	1269	1139
527	1272	1137
528	1275	1135
529	1277	1132
530	1279	1130
531	1282	1128
532	1285	1126
533	1287	1123
534	1289	1120
535	1292	1118
536	1294	1115
537	1296	1113
538	1298	1110
539	1300	1107
540	1302	1105
541	1306	1103
542	1308	1101
543	1311	1099
544	1313	1096
545	1317	1095
546	1319	1092
547	1321	1089
548	1323	1087
549	1325	1084
550	1327	1081
551	1329	1079
552	1334	1078
553	1337	1076
554	1340	1075
555	1343	1072
556	1345	1069
557	1348	1067
558	1350	1065
559	1352	1062
560	1355	1060
561	1357	1058
562	1360	1055
563	1362	1053
564	1365	1051
565	1367	1048
566	1369	1045
567	1371	1043
568	1373	1040
569	1376	1038
570	1379	1036
571	1381	1033
572	1383	1031
573	1386	1028
574	1388	1026
575	1390	1023
576	1393	1021
577	1395	1019
578	1397	1016
579	1399	1013
580	1401	1010
581	1404	1008
582	1407	1006
583	1409	1003
584	1411	1001
585	1414	999
586	1416	996
587	1419	994
588	1421	991
589	1423	989
590	1425	986
591	1427	983
592	1429	981
593	1432	978
594	1434	976
595	1436	973
596	1439	971
597	1441	968
598	1443	966
599	1445	963
600	1447	961
601	1451	959
602	1453	957
603	1456	954
604	1458	952
605	1461	949
606	1463	947
607	1465	944
608	1467	942
609	1469	939
610	1471	936
611	1473	934
612	1476	931
613	1477	929
614	1480	926
615	1482	924
616	1484	921
617	1485	918
618	1488	915
619	1490	913
620	1493	911
621	1495	908
622	1497	906
623	1499	903
624	1501	901
625	1503	898
626	1505	895
627	1507	893
628	1509	890
629	1511	887
630	1513	884
631	1515	882
632	1518	880
633	1520	877
634	1522	875
635	1526	873
636	1528	870
637	1531	868
638	1533	866
639	1535	863
640	1538	861
641	1540	859
642	1543	857
643	1545	854
644	1548	852
645	1550	849
646	1553	847
647	1556	845
648	1559	843
649	1561	840
650	1563	838
651	1566	835
652	1568	833
653	1571	831
654	1573	828
655	1575	826
656	1577	823
657	1580	821
658	1582	818
659	1584	816
660	1587	813
661	1589	811
662	1591	809
663	1593	806
664	1596	804
665	1598	801
